id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas ,skdl_id,skdl_description,skdl_imageurl,skdl_latitude,skdl_longitude,skdl_type
,FOLK 12 Tithebarn Street Liverpool L2 2DT,,,"12 Tithebarn Street Liverpool, L2 2DT",,L22DT,,01519581260,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95928,,https://dhzjvxyl79yzn.cloudfront.net/8/95928_0_folk-12-tithebarn-street-liverpool-l2-2dt_th.jpg,53.4088518,-2.9906375,live
,HUS Bar Liverpool ,,,"Tempest, 12 Tithebarn Street",,L22DT,,01519581260,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78966,,https://dhzjvxyl79yzn.cloudfront.net/6/78966_0_hus-bar-liverpool-_th.jpg,53.4089368,-2.99043,bar
,Tempest 12 Tithebarn Street Liverpool L2,,," 12 Tithebarn Street, Liverpool, L2",,L22DT,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87442,,,53.4089368,-2.99043,Outdoors
,Elysuim Liverpool,,,"8 Eberle St, Liverpool L2 2AG",,L22ag,,07910321642,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115372,,,53.4082205,-2.9897404,Nightclub
,Elysuim,,,"8 Eberle St, Liverpool L2 2AG",,L22ag,,07910321642,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115490,,,53.4082205,-2.9897404,Nightclub
,Elysium,,,8-10 Eberle Street,,L22AG,,07477057096,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113472,,,53.4082421,-2.9896884,Nightclub
,SGT Peppers,,,4-6 Mathew Street,,L26RE,,01513052420,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94875,,https://dhzjvxyl79yzn.cloudfront.net/5/94875_0_sgt-peppers_th.jpg,53.406307,-2.987957,live
,Eric's,,,9 Mathew Street,,L26RE,,01512369994,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27400,,,53.406392,-2.98783,live
,JALOUX ,,,5 Victoria Street,,L25QA,,07376300409,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95313,,https://dhzjvxyl79yzn.cloudfront.net/3/95313_0_jaloux-_th.jpg,53.406664,-2.988274,Nightclub
,Tequila Club ,,,9 ,,L25QA,,01512368474,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66204,,https://dhzjvxyl79yzn.cloudfront.net/4/66204_1_tequila-club-_th.jpg,53.406681,-2.988248,Nightclub
,The Cavern Restaurant,,,Smokie Mo&#39;s,,L14AZ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106269,,,53.4062628,-2.9875694,Nightclub
,The Tube,,, Mathew Street Liverpool,,L26RE,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106683,,,53.4062628,-2.9875694,Nightclub
,Kaiserkeller,,," 9 Mathew Street Liverpool, L2 6RE",,L26RE,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107376,,,53.4062628,-2.9875694,bar
,LIVERPOOL BEATLES MUSEUM,,,23 MATHEW STREET,,L26RE,,01512361337,,,,,,,,,,LIVERPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108972,,https://dhzjvxyl79yzn.cloudfront.net/2/108972_1_liverpool-beatles-museum_th.jpg,53.4062628,-2.9875694,Other
,Molly Malone's,,,victoria street ,,L26QE,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82262,,,53.4065593,-2.9877122,live
,Midnight Lounge Liverpool,,,3 Victoria Street,,L25QA,,07908152545,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94149,,,53.4067598,-2.9881772,Nightclub
,OMG Liverpool,,,9 Victoria Street,,L25QA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102658,,https://dhzjvxyl79yzn.cloudfront.net/8/102658_1_omg-club-liverpool_th.jpg,53.40677,-2.988214,Nightclub
,Heaven Bar Liverpool,,,10-18 Victoria Street ,,L26QE,,07432619017,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54128,,https://dhzjvxyl79yzn.cloudfront.net/8/54128_1_heaven-bar-liverpool_th.jpg,53.406764,-2.987865,Nightclub
,Heaven Liverpool,,,10-16 Victoria Street,,L26QE,,01513052424,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94706,,https://dhzjvxyl79yzn.cloudfront.net/6/94706_0_heaven-liverpool_th.jpg,53.406777,-2.987777,Nightclub
,DRAMA Nightclub Liverpool,,,15 Victoria Street,,L25QS,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113961,,,53.406958,-2.987714,Nightclub
,Revolution Cavern Quarter,,,"2 Temple Court, Cavern Quarter",,L26PY,,01512360905,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338,,https://dhzjvxyl79yzn.cloudfront.net/8/1338_2_revolution-cavern-quarter_th.jpg,53.406838,-2.987308,bar
,Mosquito,,,15 Victoria St,,L25QS,,01512361999,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10926,,,53.407099,-2.987781,Nightclub
